Time(s), Force_Z
0.0000, 0.00134203
0.0010, 0.00247829
0.1127, -0.00497727
0.1212, 0.00007508
0.1246, 0.00007492
0.1803, -0.00003024
0.1813, -0.00134911
0.1838, 0.00004160
0.1853, -0.00379357
0.1853, -0.00240021
0.1853, -0.00004081
0.1853, 0.00377955
0.1853, 0.00118232
0.1874, 0.00007244
0.1874, 0.00248970
0.1884, -0.00126917
0.1941, -0.00245295
0.1941, 0.00247912
0.1941, 0.00004160
0.1941, 0.00113487
0.1941, -0.00239145
0.1941, -0.00000304
0.1941, 0.00002068
0.1951, -0.00003554
0.1951, 0.00007145
0.1951, -0.00003304
0.1951, 0.00131831
0.1951, 0.00122878
0.1951, -0.00247825
0.1951, 0.00128681
0.1951, -0.00381381
0.1951, 0.00262139
0.1951, 0.00236149
0.1951, 0.00126474
0.1951, 0.00001788
0.1951, 0.00014526
0.1951, -0.00257753
0.1961, -0.00501240
0.1961, 0.00256087
0.1961, -0.00381646
0.1961, -0.00245361
0.1961, 0.00004705
0.1961, -0.00376372
0.1961, -0.00004883
0.1961, -0.00131843
0.1961, -0.00005661
0.1961, 0.00250995
0.1961, 0.00124382
0.1961, -0.00000485
0.1961, 0.00006880
0.1961, -0.00006289
0.1971, 0.00378483
0.1971, 0.00007673
0.1971, -0.00130695
0.1971, 0.00129376
0.1971, 0.00122705
0.1971, -0.00001263
0.1971, 0.00248607
0.1971, 0.00001177
0.1971, -0.00006718
0.1971, 0.00128318
0.1971, -0.00123246
0.1971, 0.00123324
0.1971, -0.00249049
0.1981, 0.00136229
0.1981, -0.00256877
0.1981, -0.00008661
0.1981, 0.00127970
0.1981, 0.00137188
0.1981, 0.00250730
0.1981, 0.00250186
0.1981, -0.00127182
0.1981, 0.00258972
0.1981, 0.00130690
0.1981, -0.00120774
0.1981, -0.00244336
0.1981, -0.00379620
0.1991, -0.00129387
0.1991, -0.00000485
0.1991, -0.00245271
0.1991, 0.00126293
0.1991, -0.00126502
0.1991, -0.00120427
0.1991, 0.00129656
0.1991, 0.00008376
0.1991, -0.00118765
0.1991, 0.00367771
0.1991, 0.00124117
0.1991, -0.00249064
0.1991, -0.00130793
0.1991, 0.00375583
0.1991, 0.00372780
0.1991, -0.00244320
0.1991, -0.00003387
0.2001, -0.00134926
0.2001, -0.00004263
0.2001, -0.00008381
0.2001, -0.00252148
0.2001, 0.00003383
0.2001, -0.00376637
0.2001, -0.00001015
0.2006, 0.00245638
0.2006, -0.00130528
0.2006, -0.00500348
0.2006, 0.00001788
0.2006, -0.00010753
0.2006, 0.00254839
0.2006, 0.00131831
0.2006, -0.00122981
0.2006, -0.00122105
0.2006, 0.00245192
0.2006, -0.00111739
0.2006, 0.00001094
0.2006, -0.00127462
0.2006, -0.00001278
0.2006, -0.00132108
0.2006, 0.00240183
0.2006, -0.00370502
0.2021, -0.00118658
0.2021, 0.00002068
0.2032, 0.00618277
0.2032, -0.00135787
0.2032, 0.00016295
0.2032, 0.00494995
0.2032, 0.00115959
0.2032, 0.00003126
0.2032, -0.00128306
0.2032, 0.00124382
0.2032, -0.00114376
0.2032, -0.00006099
0.2045, 0.00006797
0.2045, 0.00127714
0.2045, -0.00246246
0.2045, 0.00362679
0.2045, 0.00258278
0.2045, -0.00002941
0.2045, -0.00120940
